"id","profileName","text","date","title","rating","images","helpful"
"R3DBVATU7A3OA3","alrightalrightalright","I am about 8 chapters into this book. So, I haven’t finished it yet, but I wanted to give my thoughts so far.I had been hesitant to try to learn programming. I am an adult learner, and I was scared that it was complicated and hard. Other methods I had tried (YouTube videos, Udemy courses, iPhone apps) didn’t teach me things I felt I needed to know as a complete beginner. So I gave up each time. I still had so many questions, and not the kinds of questions you want to have as a beginner. Usually it’s a bunch of “why’s” or “how’s”. I would get discouraged and give up, because how could you advance when you’re really not even sure what you’re doing in the first place?I recently got the itch to try again. I have always known about this book, so I came back to it first. I am SO glad I did.I can’t remember the last time I was so impressed with a non-fiction book. The information here is intelligently structured, expertly delivered, and easy to digest. Every time I feel like I have a question (one of the why’s or how’s), I suddenly find that the question is being answered almost at the same time as I am asking them. It makes you feel like the author is a bit of a mind reader.I’ve been progressing really well by going through this book. I do no more than one chapter per day so that I have time to digest, then come back to the next chapter which builds upon the last - forcing you to practice what you’ve already learned. I can’t believe I find myself easily spitting out some of the code, and even incorporating what I’ve learned in ways that the book hasn’t gotten to yet. Oops?For anyone who might read this review, I have a couple of suggestions…1. Don’t worry about what computer you have, and don’t worry about setting up a developer environment yet. Start by using a cloud-based IDE like Repl.it. It’s free. It is SO easy to use. It gives “hints” to complete your code, as well as what to fix when something is wrong. It also has built-in shortcuts to help you code a little faster - some of them I’m still learning.2. Get the book spiral bound for $6 at Staples. I hate when books won’t lay flat, especially when I’m so actively using them. Now that mine is spiral bound, I can easily go back and forth from book to computer without worrying about the pages flipping on me. I also don’t need a bookmark anymore. I just leave the book open to where I left off.To the author:My only wish is that the exercises, or “Try this” sections, were a little more structured at the beginning to reinforce some of the lessons. Since I’ve reached chapter 8, I find myself wishing I had just sat down and practiced writing list after list, then dictionary after dictionary (as an example), etc. The subtle differences are everything in programming, and even though I know I will catch on with more experience, I would feel more confident if I had them down a little more at this stage.Final notes:After 8 Chapters, I already found myself looking for other books by the same author so I could continue building on what this book teaches me, knowing that I was in good hands. Sadly, this is the only book this author has done on the subject, but I feel fortunate to have it.","Reviewed in the United States on January 30, 2022","So good",5,"","6"
"R3NY3KXV8N46K7","Owen C. Marshall","With the lockdown from the global pandemic, I have been forced to work from home like many other people. Since my usual job involved supporting hardware, this meant I was going to be stuck! Fortunately, my boss said that if I could spend my time learning skills useful to the lab, I could count the hours doing that. I asked whether learning Python would count. I told him that I would try to create scripts to monitor my hardware from home. He said that was acceptable.I have some programming experience, but it has been years since I coded, and then it was usually for relatively basic tasks in undergrad. I was looking for something that would not insult my intelligence, but that would still be interesting enough to keep me on task. So, after searching around I found this book. I saw the highly rated reviews. I skimmed the language that the author used in the sample. I read the table of contents and saw that the second part of the book consisted of creating games in order to solidify the skills learned.Yes! This sounded perfect.I have not been disappointed.The book walks the reader through setting up (checking if Python is on the computer already, downloading it if necessary, using an IDE and what that is, etc). And then it moves on to the usual basic programming. The writing is clear. I had no problems with the examples and found the practice problems to be well chosen. I also liked the way that the author encouraged good practices such as documentation and testing.I am currently in Part 2 of the book and have been working on the first project, a game called Alien Invasion which is basically a version of Space Invaders. I am definitely enjoying that. And I can see how some of the skills I learn from this could transfer over into monitoring my equipment. Reading files, taking user input, opening windows, drawing on the screen, making calculations, all of these things are necessary for the game, and for my own goals.I personally never had any problems, but I also noticed that the author's website includes cheat sheets, solutions, and errata, not to mention the files suggested for the projects.I am not sure if this book is for an absolute beginner. My experience is too far from that for me to be a good judge. But I can say that a person with basic programming knowledge and no prior knowledge of Python found it to be a great resource.","Reviewed in the United States on May 7, 2020","Easy to Follow, Good Intro for Self Learner",5,"","8"
"R32IHODPYQN8CD","N8","I've had some programming experience in the past.  I've written very basic Perl and Python programs in the past, and have a solid understanding of the basics, such as strings, variables, functions, statements, etc.I got the book ""Learning Python"" and started going through it and was entirely lost; the book mostly focuses on using Python Interpreter for most of the examples, which made it confusing for me to follow along.This book, Python Crash Course is one of the best books I've ever worked with in learning to program anything.  The author explains everything in a very detailed, yet simplistic way, and even puts numbers next to the areas he's explaining, so that the reader can understand what area of the code is being explained.In addition, the book has numerous exercises to do at the end of each chapter that really give the reader a clear grasp of the subject matter that has been presented.  Most of the time, I tend to skip over these, because they seem so tedious and boring in other books....not so in this book.  The author tells you to go find a famous quote you like, and then use that to create an exercise where you're manipulating strings (as an example).I'd have to say that so far, this is one of the best books I've ever worked with in regards to learning programming.  If you're new to programming, and don't know what a variable is verses a string, this is a great book to start with.  If you're like myself, and have a basic understanding of programming syntax, but have some places that are still confusing (maybe you know how to get something to work, but not know why it works for example), this is also a great book.Best book I've read in regards to learning Python, by far.","Reviewed in the United States on March 28, 2021","Very detailed and clearly explained",5,"","5"
"R27CYSUUZXTJ9D","Jonathan A. Titus","The index in this book is awful so one star is the best I can offer.  Wish I could give it zero stars.  I have programmed in other languages and aimed to learn about Python so as a volunteer I could answer students' questions in a junior-high programming course.  The index is horrible and newcomers will find it difficult to locate important information.  As an example, the use of a loop in software lets a computer do something many times.  The word ""loop"" is not in the index.  That goes for """"else"" and ""elif,"" also important commands.  The entry labeled ""for loops"" points readers to a chapter labeled ""Working with Lists.""  Granted, this chapter includes information about loops, but you need to go to Chapter 7, ""User Input and while loops.""  The topic of loops should have its own chapter.  I need to find a better book and not one with half the pages devoted to games, data visualization, and web applications, which I have no use for. Revised 12-17-2020","Reviewed in the United States on October 21, 2020","AWFUL:  Sparse index makes info difficult to find info.",1,"","5"
"R1UW5F0M47T5C3","Don","A disaster from the getgo: on page 2 the author listed a requirement to download a 'sublime text' program, which froze my computer, requiring a reset and several hours reinstalling deleted programs. I never made it past Chapter 1, where he kept referring to 'hello_world.py', which I was unable to correlate to the 'print' command. He notes that a text editor is necessary, but doesn't provide any specific editor, such as PyCharm. Wouldn't recommend this to a compete novice, such as myself.","Reviewed in the United States on May 6, 2020","Don't waste your money!",1,"","8"
"R25I8CWIV9HMLS","David A Patten","There are no clear instructions for how to install pygame. The first half of the book was great. But unfortunately, half the book was useless because it requires pygame. I followed the book verbatim: $ python -m pip install --user pygame and kept getting syntax errors. Python doesn't recognize $ as a valid input.  I googled around for solutions and got a variety of other errors. The author didn't seem to anticipate the magnitude of the problem if pygame couldn't be installed given his one line of instruction.","Reviewed in the United States on February 4, 2020","Single point of failure: pygame",1,"","9"
"R1IF4UDONTO7Z5","Shay","This book has taught me again that not everything that is popular is necessarly good or even moderately good.The pace is incredibly slow, like it was written for little children. The exercises are a joke - they don't make you *think*, they are very simplistic.The thing that is most annoying is that every chapter he writes something like ""You will use lists when you, for example, want to write a game where you shoot aliens and want to remove aliens that were shot down"" when it is clear that you won't get anywhere near that level of programming ability by reading this useless book.If you want a good book, don't go by what I say but go to the official python site at python.org and buy one of the books that they recommend for beginners. I bought the first book on the list and although the exercises are much harder it is by far a better book.","Reviewed in the United States on December 22, 2020","Don't buy this if you want to seriously code in Python",2,"","6"
"R1HV0O7Q9M36FN","WF","First, I just want to say thank you for allowing multiple chapters in your free kindle preview! I get so frustrated when I go to buy a new score (music) book. Just this week I purchased a Halloween easy piano book. It only shows the cover and the index. Now one is going to steal any music if you show two or three pages of different scores. But, it lets me know if I've at the level to be able to play it. Which brings me to this book. I have many beginner Python books. I wanted to teach a friend python and couldn't really recommend a book. On Kindle, I saw this had a free preview. If it didn't I wouldn't have purchased this book. But, it had I think four free chapters. I read chapters two and three. And was hooked. Now...I am compltely paperless. I do everything by PDF. However, I'm a book person. I like having a physical book. I've tried e-books but it's just not the same. I ordered the paper book and while it was shipped I was able to keep reading thanks to the free preview.The book is awesome. If you have NO programming background at all. This book is definitely for you. And it's written to where you can understand it with real-world examples that are relatable. I have many of the De-Mystifying books from McGraw. What some of those authors were thinking...I have no idea. The real-world example they give are not relatable to a normal human.This book will get you quickly up-to-speed and programming in Python! It really is a crash course that people can understand!Thanks for writing such a great book! I really enjoyed it!","Reviewed in the United States on August 20, 2020","I have a whole bookshelf on Python books. Hands down the best book for beginners!",5,"","4"
"R3BTNLO5EH2RG8","LIBBY LOU","was very excited to receive this book....cannot believe there are no examples for the try it yourself exercises READY TO SCREAM there are some online but not all...why put the time and energy into writing a whole book but leave out something as critical as follow up answers....regret purchasing....will look to purchase a book that i can check my answers n c if im on track ...UGH","Reviewed in the United States on November 14, 2020","WHY NO SOLUTIONS TO EXERCISES UGH",1,"","6"
"RS5Q1P6U4VAMJ","John","This book does all it can to make programming formidable and boring. It's not concise. It's too wordy.Most of it is filled with explanations and vanilla examples that just is not very enlightening.It's first chapter ""getting started"" will make you never start.Reading the first chapter, I decided not to read any further. Then my friend came along and did all that was intended in the chapter in less than a minute. The book spends a whole chapter on what can be done in a minute. I'm sure it meant well, but it is excessively full of explanations that are not relevant, and stuff that will just make the beginners crap.(Do beginners really have to know anything about Python 2? Or the difference between Python 2 and 3? Seriously? If not, why did you put it on the very first chapter?)It just doesn't get any better in the later chapters.This is a passage from Chapter 2:""When an error occurs in your program, the Python interpreter does itsbest to help you figure out where the problem is. The interpreter providesa traceback when a program cannot run successfully. A traceback is a recordof where the interpreter ran into trouble when trying to execute your code.Here’s an example of the traceback that Python provides after you’ve accidentallymisspelled a variable’s name ... ""WTF.If the book was intended for beginners - can't understand. If the book was intended for developers familiar with other languages - too verbose.----------------------------------------------------------------------<updated later>Actually, now that I'm beyond the very very early phase, this book is pretty fun to read. And quite helpful.I've been going back and forth between three introductory books, but this is the one that I actually find most enjoyable and helpful.Sorry about the earlier comment, but I think few points are still valid.","Reviewed in the United States on November 4, 2019","Changing the rate",4,"","7"
"RDQJ54L3XITID","kamgrn","I’m transitioning into a new role at work, and python is a requirement.  I wasted many hours on 2 udemy courses and a different python book.  Completely useless for a newbie to programming.  And then I found this book!  Lifesaver.  It literally walks thru everything step by step and is in a language that Makes sense and doesn’t have that techie over the head jargon. I would recommend this book to ANYONE wanting to learn Python. I will definitely be looking for other books by this author.  HIGHLY RECOMMENDED!","Reviewed in the United States on December 7, 2019","10 stars!!",5,"","9"
"RE3912EP40R13","Michael Baudendisel","I tried learning Python using youtube videos but was unable to find a class that did a good job of explaining the basics for absolute beginners. Decided to give this book a shot and it was a night and day difference. I think those videos would be a good follow up AFTER I finish this book, but this is the perfect place to start.Well, almost perfect. The reason I'm giving it 4 instead of five stars is that it lacks the answers to the exercises presents. During the preamble of the book, it basically says ""google the solutions."" I'm not happy with that. Answers to the exercises should be provided somewhere in the back of the book. Would be nice to confirm that I did an exercise the way the teach (author) intended. I've tried googling the answers and had a hard time finding anything definitive. If the book actually contained the answers to the exercises, then this book would be 100% perfect, but as is, it's ""almost"" perfect. If you want to learn Python, this is the book you're looking for.","Reviewed in the United States on May 8, 2022","Fantastic Resource For Beginners - Skip the Youtube Videos, Start With This",4,"",1
"R2X3ZI94OG50T0","RiskyOne","Over the past 3 years I have worked with one object  oriented programming language, VBA. Basically, I've taught myself by watching countless video, visiting numerous websites, purchasing lessons and books and hours of trial in error. When I decided to take on Python, I wanted to approach it differently and get a good understanding, so I decided to purchase a highly rated beginner's book. Python Crash Course was recommended on a programming website. I decided to purchase it and give it a go. The author of Python Crash Course, Eric Matthes, does a phenomenal job explaining the language and providing simplified examples. What I have found most beneficial is the break down and explanation of each step he provides after almost every example. Giving you the ""why's"" behind the process. I highly recommend this publication to any beginner who wants solid understanding of Python.","Reviewed in the United States on October 2, 2020","Excellent resource for beginners.",5,"","8"
"R24SM6WHGB0Z5N","Johnston ","First: This book has a LOT of Information. The format is broken down in a way that makes it easy as a newbie gettig into Python. It covers more things than I originally anticipated. It's one of the few books(6) I originally purchased when getting into the Python Language. It also remains my favorite in starting out. For some reason a lot of ""beginner's"" books about SQL, C++, Python Ect seem to either assume you somehow already know how to code or project the feeling your 4yrs old. This book is NOT that. It's a prefect balance imo and even though I now have moved on, I still find myself referring back to it every once in a while. Starts out with how to install, how to code, make your own game within Python more. Best book I've bought that got me into learning  hands down.","Reviewed in the United States on April 18, 2022","More Information than Expected",4,"",1
"R2IOYW8GNJDUAZ","G. W.","So far I've only made it to ""for loops"" chapter 4; but I think this is a really good book. I had an online class from a local University and this book has covered somethings that the class did not. Not that what the book covered and the class didn't has been major; but is interesting that only having reached chapter 4 in the book that there are things the class left out. So far the biggest change between this book and the class I took is that the book does a much better job of explaining for loops. I even watched a video on Youtube to teach you Python with no experience and even that did not do as good a job of explaining why a for loop is written the way it is. Being that the class I took was online and was one of those classes done in half the time (warp speed) I didn't bother to ask why a for loop is written the way it is I just wrote it and followed the class examples (and yes I passed the class with an A but Python is not my first programming language). I feel way more confident in learning Python after the book did such a good job of explaining for loops that as I continue with the book I believe it will explain things better then the class I took or the video I watched. On a side note the class I took, as all college classes I have taken do, required a book and that book just didn't do a good job of explaining for loops (go figure). You might be wondering why am I using this book if I took an online class and the answer is it has been awhile since I took that class so I need a refresher. Also the college that I took that class from doesn't offer another a following Python class to take unless you sign up for a degree program (and I already have a degree I just want to become proficient in Python). I would recommend that if you want to learn Python to use in a job to take at least one class from a college or another way to get proof that you learned Python other than studying it on your own. Also another reason to learn from a book with no class attached to it is you can learn at your own pace. Now I could learn from the book that I bought for the college course since the class only went so far into the book; but I just didn't find that book to be very well written and full of information one doesn't really need to learn how to program with Python. I feel like a ""college"" course book has a lot of bloat while a book like this one is more straight forward. A book like this one survives and sells or not because it is good etc while a college course book is chosen by the teacher or school regardless of the reviews it got. So after this extremely long review I would recommend this book; but I think one does need something (a class, certificate etc) to show proof that one has at least some Python knowledge outside of ones own studying.","Reviewed in the United States on December 26, 2021","Recommend getting, but also get proof of Python knowledge elsewhere (see below)",5,"","2"
"R2M2AT6AHNOA5V","geekandglitter","I am a beginner/intermediate Python programmer with many holes in my knowledge; thus I am using this book both for reference and for systematic self-teaching.I've never seen such a thorough, comprehensive, and easy to use table of contents and index in any technical book.  This makes the book as easy to use as a reference as it is a teaching tool through building projects.This author, who is a trained teacher, clearly has a rationale behind laying out every concept. It's no wonder it's been translated into several languages and is a best seller.The form factor, typeface, and spacing are also carefully planned, as each page draws the eye in.Another note of interest is that I, perhaps like many people, tend not to want to learn through building someone else's projects. I just want to learn what I need to build my own! Thus when I take online courses, I avoid those that are project based.  But a physical book can make it worthwhile to build the projects, because doing so makes it an even better reference afterward. That is, the projects become old friends rather than throw-away. I only thought of this now, looking at this book, because I am confident that if any teacher/author can make me build their project, this author can.As programmers, we all heavily use google to find answers. I am happy to now have a physical book at my side. And just to make this book even better, it comes with lots of free meta materials which the author is actively maintaining.  This book is a find.","Reviewed in the United States on December 3, 2020","Can be used both as a reference and a teaching tool",5,"","3"
"R2N6NCAVF87BG8","Mr. Ty","Been a programmer for a long, long time and bought this to learn Python.  So far, so good, I've had good references and bad.  Really not far enough along to provide a fully justified review of the material covered.But after two days of using it, it is pretty shoddily made.  The cover has come completely off.  Not figuratively or virtually, but completely, as in the cover can go in one direction and the rest of the book in another.  Two days.","Reviewed in the United States on September 1, 2020","The material seems good, the book, not so much.",1,"","6"
"R3F5MIDEUO5COR","Jimmy R. Russell","This book didn't feel like a crash course but didn't feel like a textbook either. The author briskly reviewed some key basic concepts and gave the odd pointer here or there, and the book promptly moved on to some real-world examples. The author also gives you an overview of what is out there in the Python ecosystem, which is helpful because there is a lot out there. It is not like Java where everything you need is in the API. If you're like me and you had a background in programming already, that's exactly what you were looking for. If you are completely new to programming and you've decided to learn in Python, this would still be a good book to buy but you may want to buy another book to complement it.","Reviewed in the United States on October 8, 2020","Great book. Helped a ton!",5,"","3"
"R1E5M1YLM2FZSP","idontwanttomakeone","My background is in JS, so I was looking for something that would both help me navigate installing Python3, learning the language syntax and differences in rules, and delve a little deeper in classes & objects.So far, it's clear that this is set up for absolute beginners, and I wouldn't call it a ""crash"" course. It's extremely thorough about walking you through common syntax errors you'll probably make on your own. I do like that it encourages you to play with breaking the code, which is absolutely necessary for learning how to code, but it's a little hand-holdy. I was expecting the guidance to loosen up as you went on, but as of chapter 6 out of the 11 chapters that introduce the topics, it's still very sheltered.I'd suggest people wanting a little more challenge/for things to stick a little longer read the first ""A Simple ___"" section whenever a topic is introduced, then jump to the exercises. See what you can accomplish there just from seeing the example code, and if you run into trouble, then go back through all of the ""how to do this exact thing"" stuff.Using the book this way, it's been a great reference book, and a quick read. I wish more complex ideas were introduced earlier, like conditionals/loops, so that the exercises could introduce more problem-solving than you can get with just print earlier, but I'm looking forward to the projects section.Oh, and yeah the binding did pop off on day 1. But it was super clean, so I just dabbed some rubber cement on the spine. It's not a big deal.","Reviewed in the United States on May 13, 2020","Binding does pop off. Definitely for people with zero code experience, but still a great reference.",4,"","2"
"R3G7MCXLOZGDTO","Some Guy","This is probably one of the best introductory programming books I've ever tried. Back when I was an undergraduate, I learned Pascal (yup, they still taught it at that point), C, and C++.  Neither the professors or the textbooks were very good at explaining...well...anything. Luckily, I was able to figure things out for myself, but it really left a sour taste in my mouth about programming (I've done scripting professionally, but it wasn't my primary role).Fast forward to now. I have one foot in each of 2 worlds - behavioral science and IT (networking and security). Both worlds use Python. I decided to get this book and finally sit down and learn it (I was briefly introduced to Python when I was an undergraduate and asked why we didn't have a class in it, I would have preferred it). This book has very clear, concrete examples and you learn by doing. For the first half (or a little more), you'll learn the basics of what you need to navigate the language. You'll do short exercises to lock in what you learn. Later on the book, you'll actually work on larger, more involved projects and the author guides you through with excellent explanations.Needless to say, I picked up Python faster than any language before it. I've come to really like the No Starch Press books as I find them (in general) to be well-written  and clear.","Reviewed in the United States on January 1, 2021","Great",5,"","2"
"RE90JSJE7ODIB","JJH Colorado","I don't write a lot of five star reviews, but now that I'm half way though this book it's time to give this one a top rating.  A developer by trade, I'm coming out of retirement and learning python.  This book is like a good college text book.  Written so that someone with little programming knowledge can learn the language and learn it well, it's also good for development veterans who want a solid foundation with python.  If you approach this like a tutorial and you read through it and do the examples (and add in your own), you'll have a pretty good grasp on the language.  Of course there's room for advanced topics when you are done.  A five star review from me for this book.","Reviewed in the United States on May 20, 2021","Best software language tutorial I've used in decades",5,"","3"
"R2ADM3NJ38D25P","William Conway","OK . . . .there are more than 4,000 reviews on this book, but I wanted to put my 2 cents in. The book is awesome and I'm only two chapters in . . .but seriously!!!!!! The Sublime Text editor the book has us downloading is weak. Now, you might have to register and pay for the service . . . .My copy said UNREGISTERED in bold letters at the top . . . .I'm not paying money for that thing and realized there are so many text editors/compilers you can get . . . I went out and used programiz.com. Now, you have to place code in your web browser. . . . and I'm not sure how objects will be affected . . . .but I was so relieved to find that all my source code worked!!!! The url is programiz.com/python-programming/online-compiler . I feel great and the book is wonderful . . . .but that sublime text editor has to go . . . .I downloaded Code::Blocks for my c++ coding . . .and that thing was a beast . . .tons of information and the compiler looks solid . . . .but this sublime bull text editor is so measly . . .I have no idea how 4,000 people survived without freaking out the way I did . . . .so, if you're living in 2021 using Python Crash Course by Eric Matthes . . . .you might need a better compiler . . .I'm just saying . . . .","Reviewed in the United States on April 22, 2021","Get a new IDE/compiler",4,"",1
"RCJ1TA9XB5WWU","Samson","The first 8 chapters are presented at a good pace with lots of exercises.  (Work the exercises).  Exercises are challenging the first time you see them.  Ch 9 (Classes) didn't stick the first time through, but maybe it's the material ??  I expect to have to repeat it several times.There is a BIG step up into chapter 12 -- the first large project -- Alien Invasion.  Found myself in a position of typing in the code, and understanding the code, but knowing I could not write the code.  What makes it especially difficult was -- to save space -- the author plugged snippets of code into partial program listings while telling you in the text to delete sections of code.  I would suggest that's a very poor way of changing the code as it's extremely easy for the user to mess up.  I got frustrated to the point of just quitting several times working through this portion of the book.  This cost it a star.Also, the code ran extremely slow -- taking half an hour to load.  Not sure what that's about.  Looked online but couldn't find anybody with a similar problem.  Like everybody else said -- the binding is awful -- but the content is really good.  Especially true of the first 8 chapters.  This would be a 4 star review were it not for the binding.","Reviewed in the United States on December 7, 2020","Overall Pleased",3,"",1
"R33V7E2SUYVWDT","James PJ","First off, I want to enter a quote from page 173: ""This brings you to an interesting point in your growth as a programmer.  When you wrestle with questions like these, you're thinking at a higher logical level rather than a syntax-focused level.  Your're thinking not about Python, but about how to represent the real world in code.""  This quote reminds me of another: ""the best programming is done by programmers immersed in the environment they are writing for.  I was lucky to be immersed and programming in a clinical environment.  I've been out of that (programming) environment for about eight years and grabbed this book because I'd been missing this kind of thinking.  Matthes is great at teaching syntax and great at getting you thinking about program modeling in the real world.  Great book, but you might need a wee bit of glue to keep the cover on.","Reviewed in the United States on June 8, 2020","Brilliant Writing",5,"","3"
"RMJ0JHCKZWGOY","Noah Benedict","i have a very hard time with reading and comprehension. most text books or educational materials are super hard for me to read due to various disabilities. i have wanted to learn how to program for a very long time, but i was intimidated by most texts and felt discouraged that someone with these issues could never learn to programbut this book is amazing. its formatted well to be informative but accessible, it explains things well and the project-based learning is awesome. ive only spent a few days reading it but ive already learned so much, when it usually takes me weeks to get where i am with only half as much comprehension. you can tell the author knows how intimidating it looks to a lot of people who dont know the first thing about coding languages, because they have explained it in a way that i could grasp immediately.if youre looking to learn Python, i would recommend this book 100000%. i hope this author has other books on different programming languages, because if this is how they wrote Python, ill definitely read the others.10/10, amazing, im enjoying learning through this method so much. its not easy learning a language for the first time- but this books helps you work through the difficulties through small projects and encouraging readers to make errors to see what errors look like, and what fixes them","Reviewed in the United States on November 19, 2020","An Excellent Introduction",5,"","2"
